2023;1;2;15200;1;72.52
2023;1;2;12200;9;29.29
2023;1;2;15100;5;7.89
2023;1;2;15100;2;7.72
2023;1;2;15200;204;69.42
2023;1;3;12100;17;3.38
2023;1;3;15200;24;69.42
2023;1;3;12100;6;3.33
2023;1;3;15100;226;7.89
2023;1;3;12100;2;3.31
2023;1;4;15100;10;8.06
2023;1;4;12100;9;3.24
2023;1;4;15200;8;66.94
2023;1;4;12100;7;3.19
2023;1;4;12200;7;28.58
2023;1;5;12100;2;3.24
2023;1;5;15100;129;7.95
2023;1;5;15200;6;68.80
2023;1;5;12200;3;27.87
2023;1;5;15100;9;7.83
2023;1;6;12100;323;3.38
2023;1;6;12100;1;3.22
2023;1;6;15100;5;7.89
2023;1;6;12100;290;3.42
2023;1;6;12100;345;3.40
2023;1;7;12100;323;3.19
2023;1;7;12200;8;28.34
2023;1;7;12200;8;27.63
2023;1;7;15200;9;66.94
2023;1;7;12100;34;3.19
